北海道,area,1,,,
青森県,area,2,,,
岩手県,area,3,,,
宮城県,area,4,,,
秋田県,area,5,,,
山形県,area,6,,,
福島県,area,7,,,
茨城県,area,8,,,
栃木県,area,9,,,
群馬県,area,10,,,
埼玉県,area,11,,,
千葉県,area,12,,,
東京都,area,13,,,
神奈川県,area,14,,,
新潟県,area,15,,,
富山県,area,16,,,
石川県,area,17,,,
福井県,area,18,,,
山梨県,area,19,,,
長野県,area,20,,,
岐阜県,area,21,,,
静岡県,area,22,,,
愛知県,area,23,,,
三重県,area,24,,,
滋賀県,area,25,,,
京都府,area,26,,,
大阪府,area,27,,,
兵庫県,area,28,,,
奈良県,area,29,,,
和歌山県,area,30,,,
鳥取県,area,31,,,
島根県,area,32,,,
岡山県,area,33,,,
広島県,area,34,,,
山口県,area,35,,,
徳島県,area,36,,,
香川県,area,37,,,
愛媛県,area,38,,,
高知県,area,39,,,
福岡県,area,40,,,
佐賀県,area,41,,,
長崎県,area,42,,,
熊本県,area,43,,,
大分県,area,44,,,
宮崎県,area,45,,,
鹿児島県,area,46,,,
沖縄県,area,47,,,
保健、医療、福祉,activity,1,,,
社会教育,activity,2,,,
まちづくり,activity,3,,,
観光振興,activity,4,,,
農山漁村又は中山間地域,activity,5,,,
学術、文化、芸術、スポーツ,activity,6,,,
環境保全,activity,7,,,
災害救援活動,activity,8,,,
地域安全活動,activity,9,,,
人権・平和,activity,10,,,
国際協力の活動,activity,11,,,
男女共同参画,activity,12,,,
子どもの健全育成,activity,13,,,
情報化社会,activity,14,,,
科学技術,activity,15,,,
経済活動,activity,16,,,
職業能力・雇用機会,activity,17,,,
消費者保護,activity,18,,,
中間支援,activity,19,,,
その他,activity,20,,,
